"id","contaminant","incident_url","date_reported","date_incident","county","latitude","longitude","volume","units","contained","created_at","updated_at"
11275,"Transformer oil","EIR695","2004-06-03","2004-06-02","Ramsey",48.1006,-98.86511,40,"gallons"," ","2017-03-11 23:36:23.683732","2017-03-11 23:36:23.683732"
11274,"tar oil","EIR697","2004-06-04","2004-06-03","Mercer",47.34974,-101.83324,800,"gallons"," ","2017-03-11 23:36:23.681296","2017-03-11 23:36:23.681296"
11271,"lube oil","EIR699","2004-06-09","2004-06-09","Ward",48.23278,-101.26363,200,"gallons"," ","2017-03-11 23:36:23.673865","2017-03-11 23:36:23.673865"
11272,"Crude Oil Pipeline","EIR698","2004-06-09","2004-06-08","Oliver",47.01725,-101.2887,," "," ","2017-03-11 23:36:23.676123","2017-03-11 23:36:23.676123"
11270,"CSB product (molassas by-product)","EIR700","2004-06-14","2004-06-12","Traill",47.43251,-97.06013,17000,"gallons"," ","2017-03-11 23:36:23.671519","2017-03-11 23:36:23.671519"
11268,"Crude oil","EIR701","2004-06-30","2004-06-30","Ramsey",48.04282,-98.43329,," "," ","2017-03-11 23:36:23.666823","2017-03-11 23:36:23.666823"
11267,"Diesel","EIR702","2004-07-09","2004-07-08","Ward",48.23277,-101.30683,65,"gallons"," ","2017-03-11 23:36:23.664428","2017-03-11 23:36:23.664428"
11266,"liquid propane gas","EIR704","2004-07-11","2004-07-10","Bottineau",48.62549,-101.37544,200,"gallons"," ","2017-03-11 23:36:23.66188","2017-03-11 23:36:23.66188"
11265,"Mineral oil containing less than 4 PPM PCB","EIR706","2004-07-12","2004-07-11","Mercer",47.26302,-101.775,50,"gallons"," ","2017-03-11 23:36:23.659182","2017-03-11 23:36:23.659182"
11264,"used lubrication oil (not automobile)","EIR711","2004-07-22","2004-07-20","Pembina",48.59303,-97.17905,100,"gallons"," ","2017-03-11 23:36:23.656143","2017-03-11 23:36:23.656143"
11269,"gasoline","EIR714","2004-07-26","2004-06-29","Cass",46.88356,-96.8723,50,"gallons"," ","2017-03-11 23:36:23.669149","2017-03-11 23:36:23.669149"
11263,"crude oil","EIR713","2004-07-27","2004-07-26","Billings",46.89762,-103.30517,2,"barrels"," ","2017-03-11 23:36:23.651818","2017-03-11 23:36:23.651818"
11262,"Natural Gas","EIR715","2004-08-04","2004-08-04","Walsh",48.40517,-97.41577,," "," ","2017-03-11 23:36:23.197121","2017-03-11 23:36:23.197121"
11261,"natural gas","EIR716","2004-08-11","2004-08-11","Williams",48.14,-103.758,," "," ","2017-03-11 23:36:23.194864","2017-03-11 23:36:23.194864"
11260,"Diesel","EIR717","2004-08-31","2004-08-31","Grand Forks",47.93947,-97.05664,10,"gallons"," ","2017-03-11 23:36:23.192571","2017-03-11 23:36:23.192571"
11259,"Release of DiElectric Oil from auto-rammed transformer.","EIR718","2004-09-13","2004-09-13","Cass",46.89768,-96.80865,12,"gallons"," ","2017-03-11 23:36:23.19003","2017-03-11 23:36:23.19003"
11258,"Crude Oil","EIR719","2004-09-15","2004-09-14","Golden Valley",46.85369,-103.66182,1,"barrels"," ","2017-03-11 23:36:23.187065","2017-03-11 23:36:23.187065"
11257,"CSB (concentrated separator byproduct) which is an animal feed supplement byproduct from desugaring molasses","EIR720","2004-09-22","2004-09-22","Traill",47.43251,-97.06013,5,"gallons"," ","2017-03-11 23:36:23.184736","2017-03-11 23:36:23.184736"
11256,"diesel fuel","EIR721","2004-09-23","2004-09-23","Ward",48.23288,-101.19854,2500,"gallons"," ","2017-03-11 23:36:23.182125","2017-03-11 23:36:23.182125"
11255,"anhydrous ammonia","EIR722","2004-10-06","2004-10-06","Morton",46.82866,-100.89135,50,"pounds"," ","2017-03-11 23:36:23.179762","2017-03-11 23:36:23.179762"
11254,"Diesel Fuel","EIR723","2004-10-11","2004-10-09","Cass",46.92057,-97.68101,30,"gallons"," ","2017-03-11 23:36:23.177414","2017-03-11 23:36:23.177414"
11253,"Diesel Fuel","EIR724","2004-10-17","2004-10-17","Morton",46.86961,-101.69017,50,"gallons"," ","2017-03-11 23:36:23.175011","2017-03-11 23:36:23.175011"
11252,"anhydrous ammonia","EIR726","2004-11-17","2004-11-17","Benson",48.30357,-99.57774,4500,"gallons"," ","2017-03-11 23:36:23.172671","2017-03-11 23:36:23.172671"
11251,"diesel fuel","EIR725","2004-12-10","2004-12-10","Cass",46.88397,-97.0635,80,"gallons"," ","2017-03-11 23:36:23.17008","2017-03-11 23:36:23.17008"
11250,"propane","EIR727","2004-12-17","2004-12-15","Richland",46.18925,-96.98025,," "," ","2017-03-11 23:36:23.167472","2017-03-11 23:36:23.167472"
11249,"Railroad diesel fuel","EIR728","2005-01-05","2005-01-05","Wells",47.76771,-99.93009,25,"gallons"," ","2017-03-11 23:36:23.164653","2017-03-11 23:36:23.164653"
11247,"Possibly gasoline and/or diesel fuel","EIR729","2005-01-07","2005-01-07","Sioux",46.09574,-100.63824,," "," ","2017-03-11 23:36:22.701936","2017-03-11 23:36:22.701936"
11246,"Raw gas liquor","EIR730","2005-01-12","2005-01-11","Mercer",47.36419,-101.83327,1000,"gallons"," ","2017-03-11 23:36:22.699631","2017-03-11 23:36:22.699631"
11248,"Fuel Oil","EIR731","2005-01-13","2005-01-06","Cass",46.89798,-97.21065,200,"gallons"," ","2017-03-11 23:36:23.160165","2017-03-11 23:36:23.160165"
11245,"Petroleum Products (diesel, gasoline, bulk oil) and anti freeze","EIR732","2005-01-17","2005-01-17","Ward",48.23278,-101.26363,," "," ","2017-03-11 23:36:22.697332","2017-03-11 23:36:22.697332"
11244,"Transformer oil","EIR733","2005-01-20","2005-01-20","Grand Forks",47.89681,-97.03426,10,"gallons"," ","2017-03-11 23:36:22.69503","2017-03-11 23:36:22.69503"
11243,"Diesel","EIR734","2005-01-24","2005-01-21","Traill",47.40369,-97.08136,100,"gallons"," ","2017-03-11 23:36:22.692074","2017-03-11 23:36:22.692074"
11241,"Potato processing water","EIR735","2005-01-26","2005-01-26","Grand Forks",47.94039,-97.0771,1500,"gallons"," ","2017-03-11 23:36:22.687003","2017-03-11 23:36:22.687003"
11242,"Dielectric fluid from transformer","EIR736","2005-01-27","2005-01-25","Traill",47.43251,-97.06013,15,"gallons"," ","2017-03-11 23:36:22.689541","2017-03-11 23:36:22.689541"
11240,"Hydrogen sulfide and ammonia","EIR737","2005-01-31","2005-01-31","Mercer",47.36419,-101.83327,1000,"pounds"," ","2017-03-11 23:36:22.684629","2017-03-11 23:36:22.684629"
11239,"motor oil","EIR738","2005-02-03","2005-02-03","Ward",48.23288,-101.19854,15,"gallons"," ","2017-03-11 23:36:22.682296","2017-03-11 23:36:22.682296"
11238,"Propane","EIR739","2005-02-09","2005-02-09","Pierce",47.85472,-99.88754,," "," ","2017-03-11 23:36:22.679511","2017-03-11 23:36:22.679511"
11237,"Crude oil","EIR740","2005-02-10","2005-02-10","McKenzie",47.53757,-103.53419,100,"barrels"," ","2017-03-11 23:36:22.676896","2017-03-11 23:36:22.676896"
11236,"Crude Oil","EIR741","2005-02-17","2005-02-16","Billings",46.81083,-103.3895,4,"barrels"," ","2017-03-11 23:36:22.674546","2017-03-11 23:36:22.674546"
11235,"Diesel fuel","EIR742","2005-02-24","2005-02-22","McKenzie",47.8116,-103.20835,30,"gallons"," ","2017-03-11 23:36:22.67215","2017-03-11 23:36:22.67215"
11233,"Diesel Fuel","EIR748","2005-02-25","2005-02-25","Ward",48.22545,-101.31253,50,"gallons"," ","2017-03-11 23:36:22.66497","2017-03-11 23:36:22.66497"
11232,"Aviation Gas (#100LL)","EIR745","2005-02-28","2005-02-26","Cass",46.88343,-96.83011,30,"gallons"," ","2017-03-11 23:36:22.181919","2017-03-11 23:36:22.181919"
11234,"Diesel Fuel","EIR744","2005-02-28","2005-02-24","Cass",46.89793,-96.87213,40,"gallons"," ","2017-03-11 23:36:22.669432","2017-03-11 23:36:22.669432"
11231,"Crude Oil","EIR746","2005-03-01","2005-03-01","Williams",48.11841,-103.78748,40,"barrels"," ","2017-03-11 23:36:22.17965","2017-03-11 23:36:22.17965"
11230,"Diesel Fuel","EIR747","2005-03-11","2005-03-11","Morton",46.84275,-100.91266,200,"gallons"," ","2017-03-11 23:36:22.177222","2017-03-11 23:36:22.177222"
11229,"Fuel Oil","EIR750","2005-03-29","2005-03-29","Towner",48.45018,-99.04683,254,"gallons"," ","2017-03-11 23:36:22.174635","2017-03-11 23:36:22.174635"
11228,"diesel fuel","EIR751","2005-03-31","2005-03-31","Morton",46.82835,-100.91246,25,"gallons"," ","2017-03-11 23:36:22.17155","2017-03-11 23:36:22.17155"
11226,"Diesel fuel and unleaded gasoline","EIR752","2005-04-02","2005-04-02","Sheridan",47.4798,-100.4489,19000,"gallons"," ","2017-03-11 23:36:22.166298","2017-03-11 23:36:22.166298"
11225,"Tar Oil","EIR753","2005-04-04","2005-04-03","Grand Forks",47.92553,-97.6131,50,"gallons"," ","2017-03-11 23:36:22.164063","2017-03-11 23:36:22.164063"
11224,"10-34-0 liquid fertilizer","EIR754","2005-04-05","2005-04-04","LaMoure",46.55124,-98.86089,6838,"gallons"," ","2017-03-11 23:36:22.161754","2017-03-11 23:36:22.161754"
11223,"Gasoline","EIR755","2005-04-07","2005-04-07","Pembina",48.96999,-97.26024,55,"gallons"," ","2017-03-11 23:36:22.159452","2017-03-11 23:36:22.159452"
11227,"Oil","EIR756","2005-04-08","2005-04-02","Richland",46.264,-96.6,," "," ","2017-03-11 23:36:22.168595","2017-03-11 23:36:22.168595"
11222,"Transformer oil","EIR757","2005-04-19","2005-04-18","Wells",47.76771,-99.93009,14,"gallons"," ","2017-03-11 23:36:22.157028","2017-03-11 23:36:22.157028"
11221,"Mercury Metal","EIR759","2005-04-21","2005-04-20","Stark",46.8832,-102.77913,," "," ","2017-03-11 23:36:22.154403","2017-03-11 23:36:22.154403"
11220,"gasoline, oil, tires, batteries etc.","EIR760","2005-04-25","2005-04-25","Walsh",48.39129,-98.19888,200,"gallons"," ","2017-03-11 23:36:22.152008","2017-03-11 23:36:22.152008"
11218,"Triflurex HFP (Trifluralin)","EIR761","2005-05-02","2005-04-30","Foster",47.45021,-99.12788,8,"gallons"," ","2017-03-11 23:36:22.1448","2017-03-11 23:36:22.1448"
11217,"Three hericides were spilled in the derailment (see remarks)","EIR762","2005-05-05","2005-05-05","Cass",46.90128,-97.22738,350,"gallons"," ","2017-03-11 23:36:21.683379","2017-03-11 23:36:21.683379"
11216,"11-52-0 monoammonium phosphate dry granular fertilizer","EIR763","2005-05-10","2005-05-07","Ramsey",48.28183,-98.67966,11000,"pounds"," ","2017-03-11 23:36:21.681077","2017-03-11 23:36:21.681077"
